Number|Title|Comment|Rank
1|I love Amy|Mi cosa favorita de la ficción, personalmente.|S+
2|The summer she was there|Absoluto masterclass insuperable en el doomed Yuri|S+
3|The moon on a rainy night|REAL, ¡REAL! ¡¡¡ES MÁS REAL QUE MI PROPIA VIDA!!!|S+
4|Kao dake yoi Classmate|Adoro mucho esta cosa, va al punto de manera excelente.|S
5|Please bully me miss villainess|... ¿¿¡Como fue que logró este autor que me encante UN ISEKAI!?? ¡WTF!|S
6|Can't defy the lonely girl|Tiene demasiados capítulos preciosos.|S
7|Sorry I'm not into Yuri|El titulo más descarado de todos estos.|S
8|My darling is the cutest|Genuinamente me hace querer adoptar un samoyedo, muy bin chilling|S
9|Adachi and Shimamura (Manga)|La ABSOLUTA mejor representación de las personas autistas en la ficción.|S
10|Ladies of the scarlet devil mansion|De los mejores trabajos fan made de esta franquicia|S
11|A kiss and a white lily for her|La mejor colección de historias de Yuri, no leo lloros.|S
12|Blackmailed by the class's green tea b*tch|Es una relación muy bonita y sana, aprecio más que lo sea en este caso.|S
13|Inka Gyaru|La mejor relación de toda la lista, si, hablo 100% en serio.|S
14|Kindred spirits on the rooftop|Yuri topia :D|A+
15|In love with the villainess|Rae, Are you what they call a homosexual?|A+
16|This monster wants to eat me|Que arte, es una muy buena historia del tema, muy conmovedor.|A+
17|Ano Koro no Aoi Hoshi|Si tuviera una moneda por cada Yuri en A+ que involucra sirenas tendría 2, raro|A+
18|Straight girl trap|Estos chinos saben escribir sus cosas, un poquito alargado pero god.|A+
19|The guy she was interested in wasn't a guy|El Yuri verde es el Yuri verde.|A+
20|Gushing over magical Girls|Honestamente me agrada esta cosa, no es complejo y aprecio eso.|A+
21|Demon girl next door|Mi entry point para todo este genero y lo aprecio mucho por ello.|A+
22|Bocchi The Rock!|Sin duda la mejor adaptación al anime de la actualidad, y no leo lloros.|A+
23|There's no way I'd be your lover... unless|Esta cosa es un bote de basura prendido en llamas. 9/10 volvería a leerlo.|A+
24|Handsome girl and sheltered girl|Explora bastante bien el concepto.|A+
25|Pastel Love|Ka!|A
26|I love your cruddy|Que bueno que no tengo un arma, en varios momentos me hubiera pegado un tiro.|Fuck off
27|That landlord Yuri one|Termina mucho más adorable que como pinta en el principio.|A
28|Lonely Lesbian experience|Es literalmente mirar la vida de alguien|A
29|Until I become me|Es prácticamente mirar la vida de alguien|A
30|Shimeji Simulation|Es una joya esta cosa.|A
31|I was confessed to by my beautiful Oishi|Ta bueno, lastima que lo condenaron a salir cada siglo.|A
32|Contract sisters|Vaya experiencia que es leer esto. Joder.|A
33|Yuru Yuri|HAAAI, YURU YURI, HASHIMARUYOO. Akarin es mi modelo a seguir honestamente.|B+
34|Sherbet above the sea fog|Tiene una premisa buenísima.|A
35|The Expression Amilrato|¿Lo estoy sobrevalorando? quizás, pero esta cosa te enseña un idioma.|A
36|Together with you|Si tan solo fuera más largo, muy entrañable el conflicto para mi.|A
37|Howling song for husky girl|Me encanta lo que hace este mangaka, pero como que le falta algo a este.|B+
38|Yuri, Yuri, Panic!|Absoluta falopa, alguien duerma al pajarraco ese CSM.|B+
39|I found a NEET girl|one shot... No hay justicia en el mundo...|B+
40|Yuri is forbidden for a Yuri otaku|Muy bonito mensaje y me encanta lo rara que es la prota.|B+
41|Gushing over Magical girls|Peak fiction. Bueno tiene relaciones muy adorables en los personajes|B+
42|Gundam Witch from Mercury|Me gusta ver robots gigantes.|B+
43|My food is very cute|Jeje, es de una vampira y le doy un B positive...|B+
44|Azumi chan is interested in lesbian brothels|La puntuación del manga SIN sus escenas, porque ¿como carajo le califico eso?|B+
45|My dearest nemesis|Dos señoras treintonas se juntan. Algo pasa con las empresas chinas...|B+
46|A Love Letter for the Marching Puppy|UFFF, mujeres militares de la era victoriana, muy corto.|B+
47|Breasts are my favorite thing in the world|Haber el concepto es muy... ya sabes, pero vaya que termina bien|B+
48|My mom's a superstar|Niña de 6 años en búsqueda de que su madre le dé una segunda madre 中共资助!!|B+
49|Stardust Telepath|Es como tomar leche con avena.|B+
50|Kobayashi Maid Dragon|Esta bien, secciones medio dudosas pero nada mal.|B
51|KFTP, Remembering how we met|Sorpresivamente no tiene nada subido de tono, todo cute y bonito.|B
52|Girl X Vampire|Esta bonito pero no lo sé bob.|B
53|Goodbye my rose garden|Amo la época victoriana entonces esto me gustó, aunque se siente largo.|B
54|Adachi and Shimamura (anime)|Por un lado Adachi, por otro Adachi. además, Adachi, aunque Adachi.|B
55|Fed up OL|Quien ganará su corazón, ¿una genocida en potencia, o una mujer humilde?|B
56|Touhou Koiiro no kyoukai|Te quiero mucho Touhou, Reimari forever.|B
57|Sakura Kiss|Fue mi primer Yuri y el de muchos como yo.|B
58|How do I get together with my friend|Tenia una pinta tremenda, y el autor ANIQUILÓ a esa pinta sin remordimiento.|B
59|Uninvited wife (with child)|Es bonito y aceptable, no es mi tipo de humor pero esta ok|B
60|Monthly in the garden with my landlord|https://www.youtube.com/watch?v=vNoMI_Cx6YU|B
61|Elisa y Marcela|Vaya que fueron muy valientes, o muy tontas... o ambas cosas. Arriba España.|B
62|Steven universe|Lo dejo tan abajo porque me da cringe recordarlo de mi propia adolescencia.|B
63|Strawberry Panic|No me gustan las soju samas, pero haber, hay que respetar la historia.|B
64|An angel was my little sister|Eh... No tengo mucha defensa con esto, ¡como se atreve a ser interesante!|B
65|I met my sister through a website|Sin comentarios, muy Maestra Mochi.|B
66|Let's love girlfriends and secrets|Hydrogen baby X Coughing bomb|B
67|JK chan and her classmate's mom|Chiste de la era de la XBOX 360 se vuelve realidad, el manga.|B
68|All of humanity is Yuri except me|Concepto cool, pero le pegaron un hachazo y se nota|B-
69|Love Manga|Yuri Hikikomori es algo que no me esperaba gustar, pero está ok, le faltó ganas.|B-
70|Haru no register|No puedo decir mucho, ¿Los sport-cons son todos así de lentos en sus manga?|B-
71|College girl gets picked up by older girl|Bastante genérico y blando, pero no esta mal.|B-
72|I won 300 million so ... raising a freeloader|Historia promedio de ganadores de loteria arruinados be like:|B-
73|Kutsuzure Sensen, Witch Vasenka's War|Uno de los mangas... no, una de las cosas más inusuales que he visto.|B-
74|Tyra and Cera|Rar rar, dinosaurio !!! >:o !!! rar rar|C
75|Yuri is my job (manga)|Esta ok, esta al nivel de un romcom genérico de la temporada.|C
76|Holy sword and became a girl|Fantasia promedio de las usuarias de r/transbian, no las culpo.|C
77|Ore ga Yuri?|Bro, wtf, como te cancelan algo en solo UN volumen, bodrio behaviour.|C
78|Master and me|¿Señora, porqué su novia parece que.... No, ¿porqué ES de 10 años?|C
